,F_equation_0,F_equation_1,G_equation_0,G_equation_1,type,state
209,-x_1_0**3 + x_1_0 - x_1_1,0.811*x_1_0 + 0.038*x_1_1 + 0.465,0.539*x_1_0 - 0.539*x_2_0,0.0,FitzHughNagumo,True
210,0.0,0.0,-0.162*x_1_0*x_2_1,0.03*x_1_0*x_2_1,SI,True
211,0.318*x_1_1,-0.357*x_1_1,-0.181*x_1_0*x_2_1,0.2*x_1_0*x_2_1,SIS,True
212,0.333*x_1_1,-0.178*x_1_1,-0.155*x_1_0*x_2_1,0.191*x_1_0*x_2_1,SIS,True
213,-x_1_0**3 + x_1_0 - x_1_1,0.861*x_1_0 + 0.017*x_1_1 + 0.178,0.854*x_1_0 - 0.854*x_2_0,0.0,FitzHughNagumo,True
214,-x_1_0**3 + x_1_0 - x_1_1,0.592*x_1_0 + 0.047*x_1_1 + 0.453,0.654*x_1_0 - 0.654*x_2_0,0.0,FitzHughNagumo,True
215,-x_1_0**3 + x_1_0 - x_1_1,0.857*x_1_0 + 0.04*x_1_1 + 0.205,0.748*x_1_0 - 0.748*x_2_0,0.0,FitzHughNagumo,True
216,-x_1_0**3 + x_1_0 - x_1_1,0.121*x_1_0 + 0.029*x_1_1 + 0.214,0.803*x_1_0 - 0.803*x_2_0,0.0,FitzHughNagumo,True
217,-x_1_0**3 + x_1_0 - x_1_1,0.379*x_1_0 + 0.028*x_1_1 + 0.468,1.342*x_1_0 - 1.342*x_2_0,0.0,FitzHughNagumo,True
218,0.0,0.0,-0.084*x_1_0*x_2_1,0.137*x_1_0*x_2_1,SI,True
219,0.195*x_1_1,-0.303*x_1_1,-0.063*x_1_0*x_2_1,0.099*x_1_0*x_2_1,SIS,True
220,-x_1_0**3 + x_1_0 - x_1_1,0.321*x_1_0 + 0.014*x_1_1 + 0.276,0.643*x_1_0 - 0.643*x_2_0,0.0,FitzHughNagumo,True
221,0.0,0.0,-0.16*x_1_0*x_2_1,0.183*x_1_0*x_2_1,SI,True
222,0.361*x_1_1,-0.217*x_1_1,-0.131*x_1_0*x_2_1,0.158*x_1_0*x_2_1,SIS,True
223,0.373*x_1_1,-0.281*x_1_1,-0.052*x_1_0*x_2_1,0.168*x_1_0*x_2_1,SIS,True
224,0.0,0.0,-0.097*x_1_0*x_2_1,0.096*x_1_0*x_2_1,SI,True
225,-x_1_0**3 + x_1_0 - x_1_1,0.372*x_1_0 + 0.05*x_1_1 + 0.158,0.957*x_1_0 - 0.957*x_2_0,0.0,FitzHughNagumo,True
226,0.0,0.0,-0.142*x_1_0*x_2_1,0.043*x_1_0*x_2_1,SI,True
227,0.173*x_1_1,-0.294*x_1_1,-0.173*x_1_0*x_2_1,0.104*x_1_0*x_2_1,SIS,True
228,0.0,0.0,-0.168*x_1_0*x_2_1,0.17*x_1_0*x_2_1,SI,True
229,0.0,0.0,-0.028*x_1_0*x_2_1,0.079*x_1_0*x_2_1,SI,True
230,0.309*x_1_1,-0.173*x_1_1,-0.19*x_1_0*x_2_1,0.036*x_1_0*x_2_1,SIS,True
231,-x_1_0**3 + x_1_0 - x_1_1,0.435*x_1_0 + 0.021*x_1_1 + 0.107,0.847*x_1_0 - 0.847*x_2_0,0.0,FitzHughNagumo,True
232,0.102*x_1_1,-0.237*x_1_1,-0.104*x_1_0*x_2_1,0.145*x_1_0*x_2_1,SIS,True
233,0.24*x_1_1,-0.17*x_1_1,-0.194*x_1_0*x_2_1,0.172*x_1_0*x_2_1,SIS,True
234,0.0,0.0,-0.106*x_1_0*x_2_1,0.035*x_1_0*x_2_1,SI,True
235,-x_1_0**3 + x_1_0 - x_1_1,0.393*x_1_0 + 0.011*x_1_1 + 0.396,0.708*x_1_0 - 0.708*x_2_0,0.0,FitzHughNagumo,True
236,-x_1_0**3 + x_1_0 - x_1_1,0.367*x_1_0 + 0.045*x_1_1 + 0.39,0.924*x_1_0 - 0.924*x_2_0,0.0,FitzHughNagumo,True
237,-x_1_0**3 + x_1_0 - x_1_1,0.239*x_1_0 + 0.044*x_1_1 + 0.204,1.107*x_1_0 - 1.107*x_2_0,0.0,FitzHughNagumo,True
238,0.0,0.0,-0.037*x_1_0*x_2_1,0.048*x_1_0*x_2_1,SI,True
239,0.297*x_1_1,-0.284*x_1_1,-0.046*x_1_0*x_2_1,0.186*x_1_0*x_2_1,SIS,True
240,-x_1_0**3 + x_1_0 - x_1_1,0.497*x_1_0 + 0.043*x_1_1 + 0.462,1.266*x_1_0 - 1.266*x_2_0,0.0,FitzHughNagumo,True
241,-x_1_0**3 + x_1_0 - x_1_1,0.543*x_1_0 + 0.025*x_1_1 + 0.185,1.116*x_1_0 - 1.116*x_2_0,0.0,FitzHughNagumo,True
242,-x_1_0**3 + x_1_0 - x_1_1,0.427*x_1_0 + 0.048*x_1_1 + 0.478,0.924*x_1_0 - 0.924*x_2_0,0.0,FitzHughNagumo,True
243,-x_1_0**3 + x_1_0 - x_1_1,0.61*x_1_0 + 0.024*x_1_1 + 0.359,0.556*x_1_0 - 0.556*x_2_0,0.0,FitzHughNagumo,True
244,0.0,0.0,-0.066*x_1_0*x_2_1,0.14*x_1_0*x_2_1,SI,True
245,0.306*x_1_1,-0.315*x_1_1,-0.152*x_1_0*x_2_1,0.181*x_1_0*x_2_1,SIS,True
246,0.0,0.0,-0.022*x_1_0*x_2_1,0.04*x_1_0*x_2_1,SI,True
247,0.0,0.0,-0.051*x_1_0*x_2_1,0.084*x_1_0*x_2_1,SI,True
248,0.0,0.0,-0.127*x_1_0*x_2_1,0.105*x_1_0*x_2_1,SI,True
249,-x_1_0**3 + x_1_0 - x_1_1,0.685*x_1_0 + 0.027*x_1_1 + 0.457,1.021*x_1_0 - 1.021*x_2_0,0.0,FitzHughNagumo,True
250,0.199*x_1_1,-0.237*x_1_1,-0.049*x_1_0*x_2_1,0.114*x_1_0*x_2_1,SIS,True
251,0.0,0.0,-0.16*x_1_0*x_2_1,0.073*x_1_0*x_2_1,SI,True
252,0.0,0.0,-0.067*x_1_0*x_2_1,0.158*x_1_0*x_2_1,SI,True
253,-x_1_0**3 + x_1_0 - x_1_1,0.17*x_1_0 + 0.03*x_1_1 + 0.405,1.408*x_1_0 - 1.408*x_2_0,0.0,FitzHughNagumo,True
254,-x_1_0**3 + x_1_0 - x_1_1,0.758*x_1_0 + 0.024*x_1_1 + 0.133,1.248*x_1_0 - 1.248*x_2_0,0.0,FitzHughNagumo,True
255,0.0,0.0,-0.168*x_1_0*x_2_1,0.029*x_1_0*x_2_1,SI,True
256,0.0,0.0,-0.199*x_1_0*x_2_1,0.116*x_1_0*x_2_1,SI,True
257,0.0,0.0,-0.05*x_1_0*x_2_1,0.099*x_1_0*x_2_1,SI,True
258,-x_1_0**3 + x_1_0 - x_1_1,0.482*x_1_0 + 0.018*x_1_1 + 0.339,1.062*x_1_0 - 1.062*x_2_0,0.0,FitzHughNagumo,True
259,-x_1_0**3 + x_1_0 - x_1_1,0.383*x_1_0 + 0.024*x_1_1 + 0.164,1.229*x_1_0 - 1.229*x_2_0,0.0,FitzHughNagumo,True
260,0.369*x_1_1,-0.391*x_1_1,-0.136*x_1_0*x_2_1,0.078*x_1_0*x_2_1,SIS,True
261,0.0,0.0,-0.165*x_1_0*x_2_1,0.13*x_1_0*x_2_1,SI,True
262,-x_1_0**3 + x_1_0 - x_1_1,0.361*x_1_0 + 0.018*x_1_1 + 0.488,0.603*x_1_0 - 0.603*x_2_0,0.0,FitzHughNagumo,True
263,0.157*x_1_1,-0.241*x_1_1,-0.138*x_1_0*x_2_1,0.107*x_1_0*x_2_1,SIS,True
264,0.0,0.0,-0.131*x_1_0*x_2_1,0.117*x_1_0*x_2_1,SI,True
265,0.152*x_1_1,-0.294*x_1_1,-0.108*x_1_0*x_2_1,0.063*x_1_0*x_2_1,SIS,True
266,0.0,0.0,-0.186*x_1_0*x_2_1,0.071*x_1_0*x_2_1,SI,True
267,0.125*x_1_1,-0.158*x_1_1,-0.083*x_1_0*x_2_1,0.159*x_1_0*x_2_1,SIS,True
268,-x_1_0**3 + x_1_0 - x_1_1,0.546*x_1_0 + 0.041*x_1_1 + 0.393,0.82*x_1_0 - 0.82*x_2_0,0.0,FitzHughNagumo,True
269,-x_1_0**3 + x_1_0 - x_1_1,0.269*x_1_0 + 0.011*x_1_1 + 0.284,1.301*x_1_0 - 1.301*x_2_0,0.0,FitzHughNagumo,True
270,-x_1_0**3 + x_1_0 - x_1_1,0.856*x_1_0 + 0.019*x_1_1 + 0.42,0.739*x_1_0 - 0.739*x_2_0,0.0,FitzHughNagumo,True
271,-x_1_0**3 + x_1_0 - x_1_1,0.541*x_1_0 + 0.043*x_1_1 + 0.122,0.686*x_1_0 - 0.686*x_2_0,0.0,FitzHughNagumo,True
272,0.291*x_1_1,-0.234*x_1_1,-0.19*x_1_0*x_2_1,0.094*x_1_0*x_2_1,SIS,True
273,0.24*x_1_1,-0.269*x_1_1,-0.155*x_1_0*x_2_1,0.173*x_1_0*x_2_1,SIS,True
274,-x_1_0**3 + x_1_0 - x_1_1,0.611*x_1_0 + 0.035*x_1_1 + 0.388,1.409*x_1_0 - 1.409*x_2_0,0.0,FitzHughNagumo,True
275,-x_1_0**3 + x_1_0 - x_1_1,0.244*x_1_0 + 0.046*x_1_1 + 0.157,1.298*x_1_0 - 1.298*x_2_0,0.0,FitzHughNagumo,True
276,0.0,0.0,-0.095*x_1_0*x_2_1,0.176*x_1_0*x_2_1,SI,True
277,0.0,0.0,-0.068*x_1_0*x_2_1,0.083*x_1_0*x_2_1,SI,True
278,-x_1_0**3 + x_1_0 - x_1_1,0.568*x_1_0 + 0.027*x_1_1 + 0.397,0.626*x_1_0 - 0.626*x_2_0,0.0,FitzHughNagumo,True
279,0.0,0.0,-0.054*x_1_0*x_2_1,0.029*x_1_0*x_2_1,SI,True
280,0.111*x_1_1,-0.358*x_1_1,-0.12*x_1_0*x_2_1,0.182*x_1_0*x_2_1,SIS,True
281,-x_1_0**3 + x_1_0 - x_1_1,0.538*x_1_0 + 0.045*x_1_1 + 0.317,0.927*x_1_0 - 0.927*x_2_0,0.0,FitzHughNagumo,True
282,-x_1_0**3 + x_1_0 - x_1_1,0.566*x_1_0 + 0.014*x_1_1 + 0.446,0.605*x_1_0 - 0.605*x_2_0,0.0,FitzHughNagumo,True
283,0.178*x_1_1,-0.326*x_1_1,-0.183*x_1_0*x_2_1,0.162*x_1_0*x_2_1,SIS,True
284,-x_1_0**3 + x_1_0 - x_1_1,0.32*x_1_0 + 0.045*x_1_1 + 0.108,0.555*x_1_0 - 0.555*x_2_0,0.0,FitzHughNagumo,True
285,0.0,0.0,-0.035*x_1_0*x_2_1,0.193*x_1_0*x_2_1,SI,True
286,-x_1_0**3 + x_1_0 - x_1_1,0.753*x_1_0 + 0.039*x_1_1 + 0.316,1.423*x_1_0 - 1.423*x_2_0,0.0,FitzHughNagumo,True
287,0.293*x_1_1,-0.134*x_1_1,-0.199*x_1_0*x_2_1,0.093*x_1_0*x_2_1,SIS,True
288,0.215*x_1_1,-0.237*x_1_1,-0.078*x_1_0*x_2_1,0.021*x_1_0*x_2_1,SIS,True
289,0.164*x_1_1,-0.29*x_1_1,-0.168*x_1_0*x_2_1,0.043*x_1_0*x_2_1,SIS,True
290,0.364*x_1_1,-0.391*x_1_1,-0.161*x_1_0*x_2_1,0.079*x_1_0*x_2_1,SIS,True
291,0.112*x_1_1,-0.198*x_1_1,-0.126*x_1_0*x_2_1,0.071*x_1_0*x_2_1,SIS,True
292,-x_1_0**3 + x_1_0 - x_1_1,0.19*x_1_0 + 0.017*x_1_1 + 0.328,1.495*x_1_0 - 1.495*x_2_0,0.0,FitzHughNagumo,True
293,0.231*x_1_1,-0.155*x_1_1,-0.146*x_1_0*x_2_1,0.11*x_1_0*x_2_1,SIS,True
294,0.142*x_1_1,-0.22*x_1_1,-0.117*x_1_0*x_2_1,0.029*x_1_0*x_2_1,SIS,True
295,0.322*x_1_1,-0.165*x_1_1,-0.021*x_1_0*x_2_1,0.045*x_1_0*x_2_1,SIS,True
296,-x_1_0**3 + x_1_0 - x_1_1,0.823*x_1_0 + 0.041*x_1_1 + 0.431,0.96*x_1_0 - 0.96*x_2_0,0.0,FitzHughNagumo,True
297,-x_1_0**3 + x_1_0 - x_1_1,0.444*x_1_0 + 0.047*x_1_1 + 0.475,0.765*x_1_0 - 0.765*x_2_0,0.0,FitzHughNagumo,True
298,-x_1_0**3 + x_1_0 - x_1_1,0.279*x_1_0 + 0.03*x_1_1 + 0.129,1.451*x_1_0 - 1.451*x_2_0,0.0,FitzHughNagumo,True
299,0.0,0.0,-0.053*x_1_0*x_2_1,0.136*x_1_0*x_2_1,SI,True
300,-x_1_0**3 + x_1_0 - x_1_1,0.383*x_1_0 + 0.037*x_1_1 + 0.329,1.376*x_1_0 - 1.376*x_2_0,0.0,FitzHughNagumo,True
301,0.369*x_1_1,-0.339*x_1_1,-0.134*x_1_0*x_2_1,0.07*x_1_0*x_2_1,SIS,True
302,0.0,0.0,-0.187*x_1_0*x_2_1,0.139*x_1_0*x_2_1,SI,True
303,0.0,0.0,-0.041*x_1_0*x_2_1,0.046*x_1_0*x_2_1,SI,True
304,0.0,0.0,-0.154*x_1_0*x_2_1,0.194*x_1_0*x_2_1,SI,True
305,0.0,0.0,-0.132*x_1_0*x_2_1,0.134*x_1_0*x_2_1,SI,True
306,-x_1_0**3 + x_1_0 - x_1_1,0.114*x_1_0 + 0.012*x_1_1 + 0.274,0.952*x_1_0 - 0.952*x_2_0,0.0,FitzHughNagumo,True
307,0.361*x_1_1,-0.191*x_1_1,-0.118*x_1_0*x_2_1,0.187*x_1_0*x_2_1,SIS,True
308,-x_1_0**3 + x_1_0 - x_1_1,0.542*x_1_0 + 0.032*x_1_1 + 0.346,0.537*x_1_0 - 0.537*x_2_0,0.0,FitzHughNagumo,True
309,0.0,0.0,-0.197*x_1_0*x_2_1,0.025*x_1_0*x_2_1,SI,True
310,-x_1_0**3 + x_1_0 - x_1_1,0.616*x_1_0 + 0.01*x_1_1 + 0.198,0.72*x_1_0 - 0.72*x_2_0,0.0,FitzHughNagumo,True
311,0.0,0.0,-0.13*x_1_0*x_2_1,0.043*x_1_0*x_2_1,SI,True
312,0.215*x_1_1,-0.142*x_1_1,-0.086*x_1_0*x_2_1,0.2*x_1_0*x_2_1,SIS,True
313,0.248*x_1_1,-0.387*x_1_1,-0.134*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SIS,True
314,-x_1_0**3 + x_1_0 - x_1_1,0.293*x_1_0 + 0.037*x_1_1 + 0.179,0.694*x_1_0 - 0.694*x_2_0,0.0,FitzHughNagumo,True
315,-x_1_0**3 + x_1_0 - x_1_1,0.6*x_1_0 + 0.03*x_1_1 + 0.194,1.217*x_1_0 - 1.217*x_2_0,0.0,FitzHughNagumo,True
316,0.352*x_1_1,-0.272*x_1_1,-0.08*x_1_0*x_2_1,0.138*x_1_0*x_2_1,SIS,True
317,-x_1_0**3 + x_1_0 - x_1_1,0.723*x_1_0 + 0.026*x_1_1 + 0.125,0.839*x_1_0 - 0.839*x_2_0,0.0,FitzHughNagumo,True
318,0.207*x_1_1,-0.226*x_1_1,-0.15*x_1_0*x_2_1,0.119*x_1_0*x_2_1,SIS,True
319,-x_1_0**3 + x_1_0 - x_1_1,0.258*x_1_0 + 0.049*x_1_1 + 0.114,1.319*x_1_0 - 1.319*x_2_0,0.0,FitzHughNagumo,True
320,-x_1_0**3 + x_1_0 - x_1_1,0.122*x_1_0 + 0.017*x_1_1 + 0.471,1.231*x_1_0 - 1.231*x_2_0,0.0,FitzHughNagumo,True
321,0.0,0.0,-0.068*x_1_0*x_2_1,0.064*x_1_0*x_2_1,SI,True
322,-x_1_0**3 + x_1_0 - x_1_1,0.136*x_1_0 + 0.045*x_1_1 + 0.467,0.867*x_1_0 - 0.867*x_2_0,0.0,FitzHughNagumo,True
323,-x_1_0**3 + x_1_0 - x_1_1,0.188*x_1_0 + 0.029*x_1_1 + 0.459,1.401*x_1_0 - 1.401*x_2_0,0.0,FitzHughNagumo,True
324,-x_1_0**3 + x_1_0 - x_1_1,0.225*x_1_0 + 0.028*x_1_1 + 0.373,0.887*x_1_0 - 0.887*x_2_0,0.0,FitzHughNagumo,True
325,0.0,0.0,-0.1*x_1_0*x_2_1,0.069*x_1_0*x_2_1,SI,True
326,-x_1_0**3 + x_1_0 - x_1_1,0.636*x_1_0 + 0.034*x_1_1 + 0.394,0.745*x_1_0 - 0.745*x_2_0,0.0,FitzHughNagumo,True
327,-x_1_0**3 + x_1_0 - x_1_1,0.223*x_1_0 + 0.046*x_1_1 + 0.122,0.834*x_1_0 - 0.834*x_2_0,0.0,FitzHughNagumo,True
328,0.0,0.0,-0.147*x_1_0*x_2_1,0.076*x_1_0*x_2_1,SI,True
329,0.0,0.0,-0.107*x_1_0*x_2_1,0.102*x_1_0*x_2_1,SI,True
330,0.0,0.0,-0.199*x_1_0*x_2_1,0.132*x_1_0*x_2_1,SI,True
331,0.253*x_1_1,-0.133*x_1_1,-0.181*x_1_0*x_2_1,0.132*x_1_0*x_2_1,SIS,True
332,-x_1_0**3 + x_1_0 - x_1_1,0.542*x_1_0 + 0.04*x_1_1 + 0.416,0.723*x_1_0 - 0.723*x_2_0,0.0,FitzHughNagumo,True
333,0.0,0.0,-0.07*x_1_0*x_2_1,0.194*x_1_0*x_2_1,SI,True
334,0.242*x_1_1,-0.271*x_1_1,-0.13*x_1_0*x_2_1,0.133*x_1_0*x_2_1,SIS,True
335,-x_1_0**3 + x_1_0 - x_1_1,0.801*x_1_0 + 0.043*x_1_1 + 0.257,0.896*x_1_0 - 0.896*x_2_0,0.0,FitzHughNagumo,True
336,0.233*x_1_1,-0.147*x_1_1,-0.143*x_1_0*x_2_1,0.094*x_1_0*x_2_1,SIS,True
337,-x_1_0**3 + x_1_0 - x_1_1,0.105*x_1_0 + 0.032*x_1_1 + 0.161,0.888*x_1_0 - 0.888*x_2_0,0.0,FitzHughNagumo,True
338,0.0,0.0,-0.081*x_1_0*x_2_1,0.118*x_1_0*x_2_1,SI,True
339,-x_1_0**3 + x_1_0 - x_1_1,0.126*x_1_0 + 0.043*x_1_1 + 0.207,0.634*x_1_0 - 0.634*x_2_0,0.0,FitzHughNagumo,True
340,-x_1_0**3 + x_1_0 - x_1_1,0.794*x_1_0 + 0.031*x_1_1 + 0.164,1.04*x_1_0 - 1.04*x_2_0,0.0,FitzHughNagumo,True
341,-x_1_0**3 + x_1_0 - x_1_1,0.774*x_1_0 + 0.035*x_1_1 + 0.207,0.828*x_1_0 - 0.828*x_2_0,0.0,FitzHughNagumo,True
342,0.274*x_1_1,-0.389*x_1_1,-0.025*x_1_0*x_2_1,0.051*x_1_0*x_2_1,SIS,True
343,0.155*x_1_1,-0.106*x_1_1,-0.063*x_1_0*x_2_1,0.04*x_1_0*x_2_1,SIS,True
344,0.175*x_1_1,-0.151*x_1_1,-0.107*x_1_0*x_2_1,0.093*x_1_0*x_2_1,SIS,True
345,0.0,0.0,-0.042*x_1_0*x_2_1,0.16*x_1_0*x_2_1,SI,True
346,0.287*x_1_1,-0.204*x_1_1,-0.066*x_1_0*x_2_1,0.07*x_1_0*x_2_1,SIS,True
347,0.0,0.0,-0.075*x_1_0*x_2_1,0.135*x_1_0*x_2_1,SI,True
348,-x_1_0**3 + x_1_0 - x_1_1,0.298*x_1_0 + 0.043*x_1_1 + 0.306,1.012*x_1_0 - 1.012*x_2_0,0.0,FitzHughNagumo,True
349,0.0,0.0,-0.076*x_1_0*x_2_1,0.111*x_1_0*x_2_1,SI,True
350,0.0,0.0,-0.149*x_1_0*x_2_1,0.108*x_1_0*x_2_1,SI,True
351,0.259*x_1_1,-0.146*x_1_1,-0.08*x_1_0*x_2_1,0.1*x_1_0*x_2_1,SIS,True
352,-x_1_0**3 + x_1_0 - x_1_1,0.693*x_1_0 + 0.011*x_1_1 + 0.182,0.562*x_1_0 - 0.562*x_2_0,0.0,FitzHughNagumo,True
353,0.386*x_1_1,-0.176*x_1_1,-0.046*x_1_0*x_2_1,0.086*x_1_0*x_2_1,SIS,True
354,-x_1_0**3 + x_1_0 - x_1_1,0.597*x_1_0 + 0.039*x_1_1 + 0.44,0.564*x_1_0 - 0.564*x_2_0,0.0,FitzHughNagumo,True
355,0.337*x_1_1,-0.257*x_1_1,-0.075*x_1_0*x_2_1,0.083*x_1_0*x_2_1,SIS,True
356,0.199*x_1_1,-0.318*x_1_1,-0.066*x_1_0*x_2_1,0.117*x_1_0*x_2_1,SIS,True
357,0.0,0.0,-0.161*x_1_0*x_2_1,0.114*x_1_0*x_2_1,SI,True
358,0.163*x_1_1,-0.119*x_1_1,-0.02*x_1_0*x_2_1,0.032*x_1_0*x_2_1,SIS,True
359,0.0,0.0,-0.082*x_1_0*x_2_1,0.094*x_1_0*x_2_1,SI,True
360,0.362*x_1_1,-0.192*x_1_1,-0.064*x_1_0*x_2_1,0.168*x_1_0*x_2_1,SIS,True
361,0.0,0.0,-0.151*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SI,True
362,0.0,0.0,-0.151*x_1_0*x_2_1,0.098*x_1_0*x_2_1,SI,True
363,-x_1_0**3 + x_1_0 - x_1_1,0.455*x_1_0 + 0.024*x_1_1 + 0.105,0.824*x_1_0 - 0.824*x_2_0,0.0,FitzHughNagumo,True
364,0.19*x_1_1,-0.136*x_1_1,-0.198*x_1_0*x_2_1,0.126*x_1_0*x_2_1,SIS,True
365,-x_1_0**3 + x_1_0 - x_1_1,0.728*x_1_0 + 0.041*x_1_1 + 0.191,1.22*x_1_0 - 1.22*x_2_0,0.0,FitzHughNagumo,True
366,-x_1_0**3 + x_1_0 - x_1_1,0.579*x_1_0 + 0.011*x_1_1 + 0.238,0.523*x_1_0 - 0.523*x_2_0,0.0,FitzHughNagumo,True
367,0.0,0.0,-0.125*x_1_0*x_2_1,0.042*x_1_0*x_2_1,SI,True
368,-x_1_0**3 + x_1_0 - x_1_1,0.696*x_1_0 + 0.023*x_1_1 + 0.385,0.899*x_1_0 - 0.899*x_2_0,0.0,FitzHughNagumo,True
369,0.376*x_1_1,-0.194*x_1_1,-0.13*x_1_0*x_2_1,0.09*x_1_0*x_2_1,SIS,True
370,-x_1_0**3 + x_1_0 - x_1_1,0.611*x_1_0 + 0.026*x_1_1 + 0.2,1.38*x_1_0 - 1.38*x_2_0,0.0,FitzHughNagumo,True
371,-x_1_0**3 + x_1_0 - x_1_1,0.434*x_1_0 + 0.01*x_1_1 + 0.495,1.284*x_1_0 - 1.284*x_2_0,0.0,FitzHughNagumo,True
372,-x_1_0**3 + x_1_0 - x_1_1,0.471*x_1_0 + 0.03*x_1_1 + 0.179,1.406*x_1_0 - 1.406*x_2_0,0.0,FitzHughNagumo,True
373,0.16*x_1_1,-0.154*x_1_1,-0.062*x_1_0*x_2_1,0.082*x_1_0*x_2_1,SIS,True
374,-x_1_0**3 + x_1_0 - x_1_1,0.709*x_1_0 + 0.029*x_1_1 + 0.342,0.899*x_1_0 - 0.899*x_2_0,0.0,FitzHughNagumo,True
375,0.0,0.0,-0.044*x_1_0*x_2_1,0.027*x_1_0*x_2_1,SI,True
376,0.273*x_1_1,-0.26*x_1_1,-0.043*x_1_0*x_2_1,0.158*x_1_0*x_2_1,SIS,True
377,-x_1_0**3 + x_1_0 - x_1_1,0.288*x_1_0 + 0.027*x_1_1 + 0.465,1.332*x_1_0 - 1.332*x_2_0,0.0,FitzHughNagumo,True
378,0.0,0.0,-0.043*x_1_0*x_2_1,0.127*x_1_0*x_2_1,SI,True
379,0.389*x_1_1,-0.287*x_1_1,-0.066*x_1_0*x_2_1,0.058*x_1_0*x_2_1,SIS,True
380,0.0,0.0,-0.101*x_1_0*x_2_1,0.165*x_1_0*x_2_1,SI,True
381,-x_1_0**3 + x_1_0 - x_1_1,0.546*x_1_0 + 0.045*x_1_1 + 0.367,1.185*x_1_0 - 1.185*x_2_0,0.0,FitzHughNagumo,True
382,0.191*x_1_1,-0.26*x_1_1,-0.077*x_1_0*x_2_1,0.15*x_1_0*x_2_1,SIS,True
383,0.0,0.0,-0.028*x_1_0*x_2_1,0.195*x_1_0*x_2_1,SI,True
384,-x_1_0**3 + x_1_0 - x_1_1,0.733*x_1_0 + 0.03*x_1_1 + 0.43,0.774*x_1_0 - 0.774*x_2_0,0.0,FitzHughNagumo,True
385,0.0,0.0,-0.181*x_1_0*x_2_1,0.069*x_1_0*x_2_1,SI,True
386,0.0,0.0,-0.157*x_1_0*x_2_1,0.16*x_1_0*x_2_1,SI,True
387,0.247*x_1_1,-0.359*x_1_1,-0.022*x_1_0*x_2_1,0.172*x_1_0*x_2_1,SIS,True
388,-x_1_0**3 + x_1_0 - x_1_1,0.612*x_1_0 + 0.034*x_1_1 + 0.252,0.875*x_1_0 - 0.875*x_2_0,0.0,FitzHughNagumo,True
389,0.0,0.0,-0.19*x_1_0*x_2_1,0.177*x_1_0*x_2_1,SI,True
390,0.0,0.0,-0.157*x_1_0*x_2_1,0.063*x_1_0*x_2_1,SI,True
391,0.0,0.0,-0.097*x_1_0*x_2_1,0.174*x_1_0*x_2_1,SI,True
392,-x_1_0**3 + x_1_0 - x_1_1,0.959*x_1_0 + 0.019*x_1_1 + 0.182,0.945*x_1_0 - 0.945*x_2_0,0.0,FitzHughNagumo,True
393,0.153*x_1_1,-0.178*x_1_1,-0.144*x_1_0*x_2_1,0.143*x_1_0*x_2_1,SIS,True
394,0.225*x_1_1,-0.154*x_1_1,-0.04*x_1_0*x_2_1,0.19*x_1_0*x_2_1,SIS,True
395,0.0,0.0,-0.122*x_1_0*x_2_1,0.138*x_1_0*x_2_1,SI,True
396,0.126*x_1_1,-0.279*x_1_1,-0.048*x_1_0*x_2_1,0.025*x_1_0*x_2_1,SIS,True
397,-x_1_0**3 + x_1_0 - x_1_1,0.633*x_1_0 + 0.019*x_1_1 + 0.123,0.552*x_1_0 - 0.552*x_2_0,0.0,FitzHughNagumo,True
398,-x_1_0**3 + x_1_0 - x_1_1,0.105*x_1_0 + 0.049*x_1_1 + 0.265,0.962*x_1_0 - 0.962*x_2_0,0.0,FitzHughNagumo,True
399,-x_1_0**3 + x_1_0 - x_1_1,0.749*x_1_0 + 0.019*x_1_1 + 0.33,0.84*x_1_0 - 0.84*x_2_0,0.0,FitzHughNagumo,True
400,0.0,0.0,-0.142*x_1_0*x_2_1,0.036*x_1_0*x_2_1,SI,True
401,0.0,0.0,-0.082*x_1_0*x_2_1,0.051*x_1_0*x_2_1,SI,True
402,-x_1_0**3 + x_1_0 - x_1_1,0.533*x_1_0 + 0.028*x_1_1 + 0.319,1.406*x_1_0 - 1.406*x_2_0,0.0,FitzHughNagumo,True
403,-x_1_0**3 + x_1_0 - x_1_1,0.1*x_1_0 + 0.012*x_1_1 + 0.188,0.61*x_1_0 - 0.61*x_2_0,0.0,FitzHughNagumo,True
404,0.165*x_1_1,-0.196*x_1_1,-0.064*x_1_0*x_2_1,0.07*x_1_0*x_2_1,SIS,True
405,-x_1_0**3 + x_1_0 - x_1_1,0.879*x_1_0 + 0.025*x_1_1 + 0.308,1.441*x_1_0 - 1.441*x_2_0,0.0,FitzHughNagumo,True
406,-x_1_0**3 + x_1_0 - x_1_1,0.153*x_1_0 + 0.041*x_1_1 + 0.376,1.274*x_1_0 - 1.274*x_2_0,0.0,FitzHughNagumo,True
407,0.394*x_1_1,-0.188*x_1_1,-0.037*x_1_0*x_2_1,0.161*x_1_0*x_2_1,SIS,True
408,0.0,0.0,-0.023*x_1_0*x_2_1,0.136*x_1_0*x_2_1,SI,True
409,-x_1_0**3 + x_1_0 - x_1_1,0.325*x_1_0 + 0.015*x_1_1 + 0.265,0.667*x_1_0 - 0.667*x_2_0,0.0,FitzHughNagumo,True
